,weeks,hellinger_scores
0,36-37,0.14276497483811154
1,37-38,0.15799372777513204
2,38-39,0.2782642161051366
3,39-40,0.5495757256081973
4,40-41,0.019174285963339706
5,41-42,0.3544419290045981
6,42-43,0.4015657839549169
7,43-44,0.4476503953060088
8,44-45,0.20522346714739514
9,45-46,0.44537823729321796
10,46-47,0.47641046055238934
11,47-48,0.4826454292107596
12,48-49,0.5613012244541161
13,49-50,0.2281705592459795
14,50-51,0.4237472640830107
