,weeks,hellinger_scores
0,51-52,0.11978326036235462
1,52-53,0.18994775877544745
2,53-01,0.18304806828732637
3,01-02,0.07379305456950339
4,02-03,0.13094209855816316
5,03-04,0.24757706032112375
