,weeks,js_scores
0,36-37,0.09428414500858562
1,37-38,0.09522079604792222
2,38-39,0.07661266213883969
3,39-40,0.11503043075638725
4,40-41,0.0394715087119811
5,41-42,0.08028698524667618
6,42-43,0.04789572005931219
7,43-44,0.03910882253405234
8,44-45,0.10479742363245387
9,45-46,0.029916550603303182
10,46-47,0.018179658962697843
11,47-48,0.014335271186831451
12,48-49,0.012884098726725125
13,49-50,0.01503329637837291
14,50-51,0.02074849392124643
